政府統計コード	政府統計名	作成機関	担当部局課室名	統計の種類	提供周期	データ一覧	統計表ファイル	データベース	作成機関情報
00450193	牛海綿状脳症（BSE）スクリーニング検査の結果	厚生労働省	医薬・生活衛生局食品監視安全課	業務統計	年	-	-	-	-
00450201	最低賃金に関する実態調査	厚生労働省	労働基準局賃金課	一般統計	年	?登録あり	〇	-	?作成機関情報
00450211	定期健康診断結果報告	厚生労働省	労働基準局安全衛生部労働衛生課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00450212	労務費率調査	厚生労働省	労働基準局労災管理課労災保険財政数理室	一般統計	３年	?登録あり	〇	-	?作成機関情報
00450213	平成21年有期労働契約に関する実態調査	厚生労働省	労働基準局労働関係法課	一般統計	不定期	-	-	-	-
00450214	平成23年有期労働契約に関する実態調査	厚生労働省	労働基準局労働関係法課	一般統計	不定期	-	-	-	-
00450216	令和２年有期労働契約に関する実態調査	厚生労働省	労働基準局労働関係法課	一般統計	不定期	-	-	-	-
00450217	特殊健康診断結果報告	厚生労働省	労働基準局安全衛生部労働衛生課	業務統計	年	-	-	-	-
00450218	業務上疾病発生状況	厚生労働省	労働基準局安全衛生部労働衛生課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450219	じん肺管理区分決定状況	厚生労働省	労働基準局安全衛生部労働衛生課	業務統計	年	-	-	-	-
00450221	雇用状況実態調査	厚生労働省	職業安定局雇用政策課	その他	年	?登録あり	〇	-	?作成機関情報
00450222	一般職業紹介状況（職業安定業務統計）	厚生労働省	職業安定局雇用政策課	業務統計	月	?登録あり	〇	-	?作成機関情報
00450223	雇用保険事業統計	厚生労働省	職業安定局雇用保険課	業務統計	月	?登録あり	〇	-	?作成機関情報
00450231	大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査	厚生労働省	人材開発統括官付若年者・キャリア形成支援担当参事官室	一般統計	年４回	-	-	-	-
00450232	高校・中学新卒者の就職内定状況等	厚生労働省	人材開発統括官付若年者・キャリア形成支援担当参事官室	業務統計	年５回	?登録あり	〇	-	?作成機関情報
00450233	民間人材ビジネス実態把握調査	厚生労働省	職業安定局雇用政策課民間人材サービス推進室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00450241	港湾運送事業雇用実態調査	厚生労働省	職業安定局雇用開発企画課建設・港湾対策室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450251	出稼労働者雇用等実態調査	厚生労働省	職業安定局雇用開発課農山村雇用対策室	その他	２年	?登録あり	〇	-	?作成機関情報
00450261	障害者雇用実態調査	厚生労働省	職業安定局障害者雇用対策課地域就労支援室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450270	次世代育成支援対策推進法に基づく特定事業主行動計画の策定状況の調査	厚生労働省	子ども家庭局総務課少子化総合対策室	業務統計	年	?登録あり	〇	-	?作成機関情報
00450271	乳幼児栄養調査	厚生労働省	子ども家庭局総務課少子化総合対策室	一般統計	10年	?登録あり	〇	-	?作成機関情報
00450272	乳幼児身体発育調査	厚生労働省	子ども家庭局総務課少子化総合対策室	一般統計	10年	?登録あり	〇	-	?作成機関情報
00450273	児童養護施設入所児童等調査	厚生労働省	子ども家庭局総務課少子化総合対策室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450274	全国家庭児童調査	厚生労働省	子ども家庭局総務課少子化総合対策室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450275	全国ひとり親世帯等調査	厚生労働省	子ども家庭局総務課少子化総合対策室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450276	幼稚園・保育所等の経営実態調査	厚生労働省	子ども家庭局保育課	一般統計	１回限り	-	-	-	-
00450277	子どもを守る地域ネットワーク等調査	厚生労働省	子ども家庭局総務課少子化総合対策室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450278	認可外保育施設の現況取りまとめ	厚生労働省	子ども家庭局総務課少子化総合対策室	業務統計	年	-	-	-	-
00450279	次世代育成支援対策推進法に基づく市町村行動計画等に関する策定状況等の調査	厚生労働省	子ども家庭局総務課少子化総合対策室	業務統計	年	?登録あり	〇	-	?作成機関情報
00450281	雇用均等基本調査（女性雇用管理基本調査）	厚生労働省	雇用環境・均等局雇用機会均等課	一般統計	年	?登録あり	〇	-	?作成機関情報
00450291	家内労働等実態調査	厚生労働省	雇用環境・均等局在宅労働課	一般統計	３年	?登録あり	〇	〇	?作成機関情報
00450292	家内労働概況調査	厚生労働省	雇用環境・均等局在宅労働課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450293	女性活躍推進法に基づく一般事業主行動計画策定届の届出状況及び認定状況	厚生労働省	雇用環境・均等局雇用機会均等課	業務統計	四半期	-	-	-	-
00450295	"都道府県労働局雇用環境・均等部
（室）での法施行状況"	厚生労働省	雇用環境・均等局雇用機会均等課、職業生活両立課、有期・短時間労働課	業務統計	年	-	-	-	-
00450301	福祉事務所現況調査	厚生労働省	社会・援護局総務課	一般統計	年	?登録あり	〇	-	?作成機関情報
00450303	無料低額診療事業等に係る実施状況の報告	厚生労働省	社会・援護局総務課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450304	福祉事務所人員体制調査	厚生労働省	社会・援護局総務課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00450311	社会保障生計調査	厚生労働省	社会・援護局保護課	一般統計	月	?登録あり	〇	-	?作成機関情報
00450312	被保護者調査	厚生労働省	社会・援護局保護課	一般統計	月、年	?登録あり	〇	-	?作成機関情報
00450313	医療扶助実態調査	厚生労働省	社会・援護局保護課	一般統計	年	?登録あり	〇	-	?作成機関情報
00450314	家庭の生活実態及び生活意識に関する調査	厚生労働省	社会・援護局保護課	一般統計	"平成22
年、平成 28年、
2019年"	?登録あり	〇	-	?作成機関情報
00450315	住宅手当緊急特別措置事業全国調査	厚生労働省	社会・援護局地域福祉課	一般統計	年	?登録あり	〇	-	?作成機関情報
00450321	消費生活協同組合（連合会）実態調査	厚生労働省	社会・援護局地域福祉課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00450322	"ホームレスの実態に関する全国調査
（生活実態調査）"	厚生労働省	社会・援護局地域福祉課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450323	"ホームレスの実態に関する全国調査
（概数調査）"	厚生労働省	社会・援護局地域福祉課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450331	中国残留邦人等実態調査	厚生労働省	社会・援護局援護企画課中国残留邦人等支援室	一般統計	不定期	?登録あり	〇	-	?作成機関情報
00450341	知的障害児（者）基礎調査	厚生労働省	社会・援護局障害保健福祉部企画課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450342	身体障害児・者等実態調査	厚生労働省	社会・援護局障害保健福祉部企画課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450343	障害支援区分認定状況調査	厚生労働省	社会・援護局障害保健福祉部精神・障害保健課	業務統計	年	-	-	-	-
00450344	障害福祉サービス等経営実態調査	厚生労働省	社会・援護局障害保健福祉部障害福祉課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00450345	障害福祉サービス等経営概況調査	厚生労働省	社会・援護局障害保健福祉部障害福祉課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00450346	障害福祉サービス等従事者処遇状況等調査	厚生労働省	社会・援護局障害保健福祉部障害福祉課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00450347	都道府県・市区町村における障害者虐待事例への対応状況等	厚生労働省	社会・援護局障害保健福祉部障害福祉課	業務統計	年	-	-	-	-
00450348	障害者相談支援事業の実施状況	厚生労働省	社会・援護局障害保健福祉部障害福祉課	業務統計	年	-	-	-	-
00450351	介護保険事業状況報告	厚生労働省	老健局介護保険計画課	業務統計	月、年	?登録あり	〇	-	?作成機関情報
00450371	介護事業実態調査（介護事業経営概況調査）	厚生労働省	老健局老人保健課	一般統計	３年	?登録あり	〇	-	?作成機関情報
00450372	介護事業実態調査（介護事業経営実態調査）	厚生労働省	老健局老人保健課	一般統計	３年	?登録あり	〇	-	?作成機関情報
00450373	要介護認定等に係る認定調査結果等報告	厚生労働省	老健局老人保健課	業務統計	月	-	-	-	-
00450374	要介護認定モデル事業報告	厚生労働省	老健局老人保健課	その他	不定期	-	-	-	-
00450375	高齢者介護実態調査	厚生労働省	老健局老人保健課	一般統計	不定期	-	-	-	-
00450376	介護事業実態調査（介護従事者処遇状況等調査）	厚生労働省	老健局老人保健課	一般統計	３年	?登録あり	〇	-	?作成機関情報
00450381	医療経済実態調査（医療機関等調査）	厚生労働省	保険局医療課	一般統計	２年	?登録あり	〇	-	?作成機関情報
00450382	歯科技工料調査	厚生労働省	保険局医療課	一般統計	２年	-	-	-	-
00450383	保険医療材料等使用状況調査	厚生労働省	保険局医療課	一般統計	２年	-	-	-	-
00450384	衛生検査所検査料金調査	厚生労働省	保険局医療課	その他	２年	-	-	-	-
00450385	訪問看護療養費実態調査	厚生労働省	保険局医療課	一般統計	２年	?登録あり	〇	-	?作成機関情報
00450386	DPC導入の影響評価に係る調査	厚生労働省	保険局医療課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450387	歯科補綴関連技術等に関する歯科診療報酬の適正な評価のための調査検討	厚生労働省	保険局医療課	一般統計	１回限り	-	-	-	-
00450388	後期高齢者医療制度被保険者実態調査	厚生労働省	保険局調査課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00450389	医療給付実態調査	厚生労働省	保険局調査課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00450390	後期高齢者医療事業状況報告	厚生労働省	保険局調査課	業務統計	月、年	?登録あり	〇	-	?作成機関情報
00450391	健康保険・船員保険被保険者実態調査	厚生労働省	保険局調査課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00450392	医療経済実態調査（保険者調査）	厚生労働省	保険局調査課	一般統計	２年	?登録あり	〇	-	?作成機関情報
00450393	健康保険診療状況実態調査	厚生労働省	保険局調査課	その他	年	-	-	-	-
00450394	国民健康保険医療給付実態調査	厚生労働省	保険局調査課	その他	年	?登録あり	〇	-	?作成機関情報
00450395	国民健康保険診療施設年報	厚生労働省	保険局調査課	その他	年	?登録あり	〇	-	?作成機関情報
00450396	国民健康保険事業月報等	厚生労働省	保険局調査課	業務統計	月、年	?登録あり	〇	-	?作成機関情報
00450397	国民健康保険実態調査	厚生労働省	保険局調査課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450398	国民健康保険診療状況実態調査	厚生労働省	保険局調査課	その他	年	-	-	-	-
00450399	「医療費の動向」調査	厚生労働省	保険局調査課	一般統計	月、年	?登録あり	〇	〇	?作成機関情報
00450400	在宅歯科医療に関する調査	厚生労働省	保険局医療課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00450401	20歳前障害基礎年金受給権者実態調査	厚生労働省	年金局年金課	業務統計	年	-	-	-	-
00450411	年金制度基礎調査	厚生労働省	年金局数理課	一般統計	不定期	?登録あり	〇	-	?作成機関情報
00450421	社会保障制度企画調査	厚生労働省	政策統括官付政策評価官室	その他	所得再分配調査の中間年	?登録あり	〇	-	?作成機関情報
00450422	所得再分配調査	厚生労働省	政策統括官付政策評価官室	一般統計	３年	?登録あり	〇	〇	?作成機関情報
00450431	社会保障・人口問題基本調査（出生動向基本調査）	厚生労働省	国立社会保障・人口問題研究所	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450432	社会保障・人口問題基本調査（人口移動調査）	厚生労働省	国立社会保障・人口問題研究所	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450433	社会保障・人口問題基本調査（生活と支え合いに関する調査）	厚生労働省	国立社会保障・人口問題研究所	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450434	社会保障・人口問題基本調査（全国家庭動向調査）	厚生労働省	国立社会保障・人口問題研究所	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450435	社会保障・人口問題基本調査（世帯動態調査）	厚生労働省	国立社会保障・人口問題研究所	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450437	社会保障費用統計	厚生労働省	国立社会保障・人口問題研究所	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00450451	能力開発基本調査	厚生労働省	人材開発統括官付政策企画室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00450461	公的年金加入状況等調査	厚生労働省	年金局事業企画課調査室	一般統計	３年	?登録あり	〇	-	?作成機関情報
00450462	国民年金被保険者実態調査	厚生労働省	年金局事業企画課調査室	一般統計業務統計	３年	?登録あり	〇	-	?作成機関情報
00450463	厚生年金保険・国民年金事業統計	厚生労働省	年金局事業企画課調査室	業務統計	月、年	?登録あり	〇	-	?作成機関情報
00450464	業態別・規模別適用状況調	厚生労働省	年金局事業企画課調査室	業務統計	年	?登録あり	〇	-	?作成機関情報
00450465	公務員及び私学教職員に関する厚生年金保険適用給付状況調査	厚生労働省	年金局事業企画課調査室	一般統計	月、年	-	-	-	-
00450471	保健師活動領域調査	厚生労働省	健康局健康課保健指導室	一般統計	年（一部 ３年に一度）	?登録あり	〇	-	?作成機関情報
00450481	医科歯科連携の在り方に関する調査	厚生労働省	保険局医療課	一般統計	１回限り	-	-	-	-
00450482	「調剤医療費の動向」調査	厚生労働省	保険局調査課	業務統計	月	?登録あり	〇	-	?作成機関情報
00450483	健康保険・船員保険事業状況報告	厚生労働省	保険局調査課	業務統計	月、年	?登録あり	〇	-	?作成機関情報
00450484	入院基本料等実施状況報告	厚生労働省	保険局医療課	業務統計	年	-	-	-	-
00450501	年金制度に関する総合調査	厚生労働省	年金局総務課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00450521	水道事業における耐震化の状況	厚生労働省	医薬・生活衛生局水道課	業務統計	年	-	-	-	-
00450531	検疫所業務年報	厚生労働省	医薬・生活衛生局生活衛生・食品安全企画課検疫所業務管理室	業務統計	年	-	-	-	-
00450532	輸入食品監視統計	厚生労働省	医薬・生活衛生局生活衛生・食品安全企画課検疫所業務管理室	業務統計	年	-	-	-	-
00450541	労働基準監督年報	厚生労働省	労働基準局監督課	業務統計	年	-	-	-	-
00450551	労働災害発生状況	厚生労働省	労働基準局安全衛生部安全課	業務統計	月	?登録あり	〇	-	?作成機関情報
00450561	労働保険の適用徴収状況	厚生労働省	労働基準局労働保険徴収課	業務統計	月、年	-	-	-	-
00450571	石綿による疾病に関する労災保険給付などの請求・決定状況	厚生労働省	労働基準局補償課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450572	過労死等の労災補償状況	厚生労働省	労働基準局補償課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450581	労災保険事業月報	厚生労働省	労働基準局労災保険業務課	業務統計	月	?登録あり	〇	-	?作成機関情報
00450582	労働者災害補償保険事業年報	厚生労働省	労働基準局労災保険業務課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450591	障害者雇用状況	厚生労働省	職業安定局障害者雇用対策課	業務統計	年	-	-	-	-
00450601	労働者派遣事業報告書の集計結果	厚生労働省	職業安定局需給調整事業課	業務統計	年	-	-	-	-
00450602	職業紹介事業報告書の集計結果	厚生労働省	職業安定局需給調整事業課	業務統計	年	-	-	-	-
00450621	高年齢者の雇用状況	厚生労働省	職業安定局高齢者雇用対策課	業務統計	年	-	-	-	-
00450631	「技能検定」の実施状況まとめ	厚生労働省	人材開発統括官付能力評価担当参事官室	業務統計	年	-	-	-	-
00450632	「若年技能者人材育成支援等事業」に係るものづくりマイスター認定状況	厚生労働省	人材開発統括官付能力評価担当参事官室	業務統計	月	-	-	-	-
00450643	ハロートレーニング（公共職業訓練）の実施状況	厚生労働省	人材開発統括官付人材開発政策担当参事官室	業務統計	年	?登録あり	〇	-	?作成機関情報
00450651	子ども虐待による死亡事例等の検証結果及び児童虐待相談対応件数等	厚生労働省	子ども家庭局家庭福祉課虐待防止対策推進室	業務統計	年	-	-	-	-
00450652	市区町村の児童家庭相談業務の実施状況等の調査結果	厚生労働省	子ども家庭局家庭福祉課虐待防止対策推進室	業務統計	年	-	-	-	-
00450671	放課後児童健全育成事業（放課後児童クラブ）の実施状況	厚生労働省	子ども家庭局子育て支援課	業務統計	５年	-	-	-	-
00450681	保育所等関連状況取りまとめ	厚生労働省	子ども家庭局保育課	業務統計	年	-	-	-	-
00450682	10月時点の保育所等の待機児童数の状況について	厚生労働省	子ども家庭局保育課	業務統計	年	-	-	-	-
00450691	乳幼児等に係る医療費の援助についての調査結果	厚生労働省	子ども家庭局母子保健課	業務統計	年	-	-	-	-
00450693	妊婦健康診査の公費負担の状況にかかる調査結果	厚生労働省	子ども家庭局母子保健課	業務統計	２年	-	-	-	-
00450701	次世代育成支援対策推進法に基づく一般事業主行動計画策定届の届出及び認定状況	厚生労働省	雇用環境・均等局職業生活両立課	業務統計	四半期	-	-	-	-
00450711	使用者による障害者虐待の状況等	厚生労働省	雇用環境・均等局総務課	業務統計	年	-	-	-	-
00450712	個別労働紛争解決制度施行状況	厚生労働省	雇用環境・均等局総務課	業務統計	年	-	-	-	-
00450731	特定健診・特定保健指導の実施状況	厚生労働省	保険局医療介護連携政策課医療費適正化対策推進室	業務統計	年	-	-	-	-
00450741	厚生年金基金の財政状況等	厚生労働省	年金局企業年金・個人年金課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450742	厚生年金基金の解散・代行返上の状況	厚生労働省	年金局企業年金・個人年金課	業務統計	月	?登録あり	〇	-	?作成機関情報
00450743	厚生年金基金等の未請求者の状況	厚生労働省	年金局企業年金・個人年金課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450744	国民年金基金等の未請求者の状況	厚生労働省	年金局企業年金・個人年金課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450745	確定拠出年金の施行状況	厚生労働省	年金局企業年金・個人年金課	業務統計	月	?登録あり	〇	-	?作成機関情報
00450746	企業型年金の運用実態について	厚生労働省	年金局企業年金・個人年金課	業務統計	月	?登録あり	〇	-	?作成機関情報
00450747	規約数等の推移	厚生労働省	年金局企業年金・個人年金課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450748	確定給付企業年金の事業状況等	厚生労働省	年金局企業年金・個人年金課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450749	厚生年金基金資産運用業務報告書	厚生労働省	年金局企業年金・個人年金課	業務統計	年	?登録あり	〇	-	?作成機関情報
00450751	年金記録に係る訂正請求の受付・処理状況	厚生労働省	年金局事業管理課年金記録審査室	業務統計	月	-	-	-	-
00450771	民間主要企業夏季一時金妥結状況	厚生労働省	政策統括官（労働）付労使関係担当参事官室	業務統計	年	-	-	-	-
00450772	民間主要企業春季賃上げ要求・妥結状況	厚生労働省	政策統括官（労働）付労使関係担当参事官室	業務統計	年	-	-	-	-
00450773	民間主要企業年末一時金妥結状況	厚生労働省	政策統括官（労働）付労使関係担当参事官室	業務統計	年	-	-	-	-
00450801	かかりつけ歯科医機能の在り方に関する調査	厚生労働省	保険局医療課	一般統計	２年	-	-	-	-
00452001	賃金事情等総合調査	中央労働委員会	事務局総務課広報調査室	業務統計	年、２年	?登録あり	〇	〇	?作成機関情報
00500000	産業連関構造調査	農林水産省	大臣官房統計部統計企画管理官	一般統計	５年	?登録あり	〇	〇	?作成機関情報
00500001	農業・食料関連産業の経済計算	農林水産省	大臣官房統計部統計企画管理官	加工統計	年	?登録あり	〇	〇	?作成機関情報
00500002	農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）	農林水産省	統計部統計企画管理官	加工統計	５年	-	-	-	-
00500100	農林水産物輸出入統計	農林水産省	大臣官房国際部国際経済課	加工統計	月、年	?登録あり	〇	〇	?作成機関情報
00500200	農林水産業生産指数	農林水産省	大臣官房統計部統計企画管理官	加工統計	年	-	-	-	-
00500201	農業経営統計調査	農林水産省	大臣官房統計部経営・構造統計課	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00500202	林業経営統計調査	農林水産省	大臣官房統計部経営・構造統計課	一般統計	５年	?登録あり	〇	〇	?作成機関情報
00500203	漁業経営統計調査	農林水産省	大臣官房統計部経営・構造統計課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500204	農業物価統計調査	農林水産省	大臣官房統計部経営・構造統計課	一般統計	月、年	?登録あり	〇	〇	?作成機関情報
00500205	環境保全型農業推進農家の経営分析調査	農林水産省	大臣官房統計部経営・構造統計課	その他	１回限り	?登録あり	〇	-	?作成機関情報
00500206	生産農業所得統計	農林水産省	大臣官房統計部経営・構造統計課	加工統計	年	?登録あり	〇	〇	?作成機関情報
00500207	林業産出額	農林水産省	大臣官房統計部経営・構造統計課	加工統計	年	?登録あり	〇	〇	?作成機関情報
00500208	漁業産出額	農林水産省	大臣官房統計部経営・構造統計課	加工統計	年	?登録あり	〇	〇	?作成機関情報
00500209	農林業センサス	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	基幹統計	５年	?登録あり	〇	〇	?作成機関情報
00500210	漁業センサス	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	基幹統計	５年	?登録あり	〇	〇	?作成機関情報
00500211	農業構造動態調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500212	農林水産業新規就業者等調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	その他	年	-	-	-	-
00500213	漁業構造動態調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500214	農道・林道整備状況調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	その他	年	?登録あり	〇	-	?作成機関情報
00500215	作物統計調査	農林水産省	大臣官房統計部生産流通消費統計課	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00500216	海面漁業生産統計調査	農林水産省	大臣官房統計部生産流通消費統計課	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00500217	木材統計調査	農林水産省	大臣官房統計部生産流通消費統計課	基幹統計	月、年	?登録あり	〇	〇	?作成機関情報
00500218	遊漁採捕量調査	農林水産省	大臣官房統計部生産流通消費統計課	その他	５年	?登録あり	〇	-	?作成機関情報
00500219	木材流通統計調査	農林水産省	大臣官房統計部生産流通消費統計課	一般統計	月、５年	?登録あり	〇	〇	?作成機関情報
00500220	内水面漁業生産統計調査	農林水産省	大臣官房統計部生産流通消費統計課	一般統計	年	-	-	-	-
00500221	特定作物統計調査	農林水産省	大臣官房統計部生産流通消費統計課	一般統計	年	?登録あり	〇	-	?作成機関情報
00500222	畜産統計調査	農林水産省	大臣官房統計部生産流通消費統計課	一般統計	サス年は一部休	?登録あり	〇	〇	?作成機関情報
00500223	持続的生産環境に関する実態調査	農林水産省	大臣官房統計部生産流通消費統計課・経営構造統計課センサス統計室	その他	年	-	-	-	-
00500224	繭生産統計	農林水産省	大臣官房統計部生産流通消費統計課	その他	年	?登録あり	〇	-	?作成機関情報
00500225	牛乳乳製品統計調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	基幹統計	月、年	?登録あり	〇	〇	?作成機関情報
00500226	青果物卸売市場調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	"日、年
（月別）"	?登録あり	〇	〇	?作成機関情報
00500227	畜産物流通調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	日、月、年	?登録あり	〇	〇	?作成機関情報
00500228	水産物流通調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500229	花き卸売市場調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	その他	月	?登録あり	〇	-	?作成機関情報
00500230	食品産業動向調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	その他	年	?登録あり	〇	-	?作成機関情報
00500231	食品循環資源の再生利用等実態調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	１回限り	?登録あり	〇	〇	?作成機関情報
00500232	食品流通段階別価格形成調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	不定期	?登録あり	〇	〇	?作成機関情報
00500233	食品流通構造調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	その他	年	?登録あり	〇	-	?作成機関情報
00500234	農産物地産地消等実態調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	不定期	?登録あり	〇	-	?作成機関情報
00500235	生鮮野菜価格動向調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	四半期	?登録あり	〇	〇	?作成機関情報
00500236	新規就農者調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500237	新規就農者就業状態調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00500238	集落営農実態調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500239	集落営農実態調査（集落営農活動実態調査）	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	一般統計	年	-	-	-	-
00500240	農業資源調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00500241	食品産業活動実態調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	年、３年	?登録あり	〇	-	?作成機関情報
00500242	青果物・花き集出荷機構調査	農林水産省	大臣官房統計部生産流通消費統計課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00500243	農業農村地域資源・環境総合調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	その他	年	?登録あり	〇	-	?作成機関情報
00500244	生産者の米穀在庫等調査	農林水産省	大臣官房統計部経営・構造統計課	一般統計	年２回、年	?登録あり	〇	〇	?作成機関情報
00500245	なたね、そば等生産費調査	農林水産省	大臣官房統計部経営・構造統計課	一般統計	年	-	-	-	-
00500246	農道整備状況調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500247	６次産業化総合調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500248	野生鳥獣資源利用実態調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	毎年（予定）	?登録あり	〇	〇	?作成機関情報
00500249	市町村別農業産出額（推計）	農林水産省	大臣官房統計部経営・構造統計課	加工統計	年	?登録あり	〇	〇	?作成機関情報
00500250	食料・農林水産業・農山漁村に関する意向調査	農林水産省	大臣官房統計部統計企画管理官	その他	不定期	-	-	-	-
00500300	食料需給表	農林水産省	大臣官房政策課食料安全保障室	加工統計	年	?登録あり	〇	〇	?作成機関情報
00500301	容器包装利用・製造等実態調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500302	食品産業企業設備投資動向調査	農林水産省	食料産業局企画課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500303	食料品生産実態調査	農林水産省	食料産業局食品製造課	その他	月、四半期、年	?登録あり	〇	-	?作成機関情報
00500304	油糧生産実績調査	農林水産省	大臣官房統計部生産流通消費統計課	一般統計	月	?登録あり	〇	〇	?作成機関情報
00500305	米麦の出荷等に関する基本調査	農林水産省	政策統括官付農産企画課	その他	年	-	-	-	-
00500306	米穀の流通・消費等動態調査	農林水産省	政策統括官付農産企画課	その他	月、年	?登録あり	〇	-	?作成機関情報
00500307	米麦加工食品生産動態等統計調査	農林水産省	大臣官房政策課食料安全保障室	その他	月、年	?登録あり	〇	-	?作成機関情報
00500308	製粉及び精麦工場経営概況調査	農林水産省	政策統括官付貿易業務課	その他	月、年	-	-	-	-
00500309	外食産業に関する基本調査	農林水産省	食料産業局食文化・市場開拓課	その他	年	-	-	-	-
00500310	食糧統計年報	農林水産省	政策統括官付農産企画課	業務統計	年	?登録あり	〇	-	?作成機関情報
00500311	食品製造業におけるHACCPに沿った衛生管理の導入状況実態調査	農林水産省	大臣官房統計部生産流通消費統計課消費統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
